[2026-02-28 16:07:08,628] INFO - zomato_ml_logger - Loading Model.....
[2026-02-28 16:07:10,064] INFO - zomato_ml_logger - Model Loaded Successfully....
[2026-02-28 16:09:13,089] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-28 16:09:13,105] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-28 16:09:13,120] INFO - zomato_ml_logger - Prediction Successful: 30.243114471435547
[2026-02-28 16:17:08,059] INFO - zomato_ml_logger - Loading Model.....
[2026-02-28 16:17:08,852] INFO - zomato_ml_logger - Model Loaded Successfully....
[2026-02-28 16:18:48,367] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-28 16:18:48,371] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-28 16:18:48,383] INFO - zomato_ml_logger - Prediction Successful: 40.20798873901367
[2026-02-28 16:28:44,449] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-28 16:28:44,452] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-28 16:28:44,460] INFO - zomato_ml_logger - Prediction Successful: 28.418363571166992
[2026-02-28 16:41:40,507] INFO - zomato_ml_logger - Creating DataFrame from input
[2026-02-28 16:41:40,510] INFO - zomato_ml_logger - Prediction is in progress..
[2026-02-28 16:41:40,516] INFO - zomato_ml_logger - Prediction Successful: 42.641353607177734
[2026-02-28 18:25:30,722] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-28 18:25:30,900] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-28 18:25:41,213] INFO - zomato_ml_logger - Linear Regression Model Started....
[2026-02-28 18:25:57,038] INFO - zomato_ml_logger - Linear Regression Model Completed....
[2026-02-28 18:25:57,038] INFO - zomato_ml_logger - L2 Regression Model Started....
[2026-02-28 18:26:12,669] INFO - zomato_ml_logger - L2 Regression Model Completed....
[2026-02-28 18:26:12,669] INFO - zomato_ml_logger - L1 Regression Model Started....
[2026-02-28 18:26:28,071] INFO - zomato_ml_logger - L1 Regression Model Completed....
[2026-02-28 18:26:28,071] INFO - zomato_ml_logger - Decision Tree Regression Model Started....
[2026-02-28 18:26:49,795] INFO - zomato_ml_logger - Decision Tree Regression Model Completed....
[2026-02-28 18:26:49,795] INFO - zomato_ml_logger - Random Forest Regression Model Started....
[2026-02-28 18:27:43,219] INFO - zomato_ml_logger - Random Forest Regression Model Completed....
[2026-02-28 18:27:43,219] INFO - zomato_ml_logger - XGBoost Regression Model Started....
[2026-02-28 18:27:59,400] INFO - zomato_ml_logger - XGBoost Regression Model Completed....
[2026-02-28 18:27:59,400] INFO - zomato_ml_logger - Selection of Best Regression Model In Progress....
[2026-02-28 18:27:59,401] INFO - zomato_ml_logger - Selection of Best Regression Model Completed....
[2026-02-28 18:27:59,402] INFO - zomato_ml_logger - Training Pipeline Completed....
[2026-02-28 18:27:59,402] INFO - zomato_ml_logger - Model Pkl File Exporting ....
[2026-02-28 18:27:59,430] INFO - zomato_ml_logger - Model Pkl File Exported Successfully!
[2026-02-28 20:35:20,424] INFO - zomato_ml_logger - Training of Dataset has started....
[2026-02-28 20:35:20,600] INFO - zomato_ml_logger - Splitting of Training Dataset has started....
[2026-02-28 20:35:30,341] INFO - zomato_ml_logger - Linear Regression Model Started....
[2026-02-28 20:35:56,491] INFO - zomato_ml_logger - Linear Regression Model Completed....
[2026-02-28 20:35:56,491] INFO - zomato_ml_logger - L2 Regression Model Started....
[2026-02-28 20:37:15,782] INFO - zomato_ml_logger - L2 Regression Model Completed....
[2026-02-28 20:37:15,782] INFO - zomato_ml_logger - L1 Regression Model Started....
[2026-02-28 20:38:27,049] INFO - zomato_ml_logger - L1 Regression Model Completed....
[2026-02-28 20:38:27,049] INFO - zomato_ml_logger - Decision Tree Regression Model Started....
[2026-02-28 20:41:39,394] INFO - zomato_ml_logger - Decision Tree Regression Model Completed....
[2026-02-28 20:41:39,394] INFO - zomato_ml_logger - Random Forest Regression Model Started....
[2026-02-28 20:43:17,957] INFO - zomato_ml_logger - Random Forest Regression Model Completed....
[2026-02-28 20:43:17,957] INFO - zomato_ml_logger - XGBoost Regression Model Started....
[2026-02-28 20:44:17,278] INFO - zomato_ml_logger - XGBoost Regression Model Completed....
[2026-02-28 20:44:17,278] INFO - zomato_ml_logger - Selection of Best Regression Model In Progress....
[2026-02-28 20:44:17,279] INFO - zomato_ml_logger - Selection of Best Regression Model Completed....
[2026-02-28 20:44:17,279] INFO - zomato_ml_logger - Training Pipeline Completed....
[2026-02-28 20:44:17,279] INFO - zomato_ml_logger - Model Pkl File Exporting ....
[2026-02-28 20:44:17,300] INFO - zomato_ml_logger - Model Pkl File Exported Successfully!
